,Disease,Symptom
1994,bronchitis, shortness_of_breath                  labored_breathing                                         night_sweat                                                                                decreased_body_weight                                                                              snuffle hacking_cough stridor                                                                                                                                                                                   
1995,bronchitis,                                             fever  productive_cough                                                                                             decreased_body_weight                                                                             throat_sore  hacking_cough                                                                                                                                                                                    
1996,bronchitis,                                            cough            haemoptysis      dyspnea                                                                              decreased_body_weight                                                                                                                                                                                                                                                                   
1997,bronchitis, shortness_of_breath                  labored_breathing                         cough                  dyspnea                                                                                                                                                            snuffle                                                                                                                                                                                     
1998,bronchitis,                   labored_breathing                        chest_tightness cough   productive_cough         haemoptysis    night_sweat                   hepatosplenomegaly                                                                                                                                                                                                                                                                                                                                
1999,bronchitis, shortness_of_breath                  labored_breathing                        chest_tightness                 night_sweat                   hepatosplenomegaly                                                                                                                                          throat_sore snuffle                                                                                                                                                                                     
2000,bronchitis,                                           chest_tightness    productive_cough    chill    wheezing     night_sweat                                                                                decreased_body_weight                                                                              snuffle                                                                                                                                                                                     
2001,bronchitis,                                                            night_sweat                   hepatosplenomegaly                                                                                                                                          throat_sore snuffle  stridor                                                                                                                                                                                   
2002,hemiparesis,                                                                                                                                                                  clonus                                                             focal_seizures abnormal_sensation stupor  Stahli's_line  paralyse                                                                                                                                                                          
2003,hemiparesis,                                                                speech_slurred facial_paresis                                                                                                 clonus                                                            aphagia focal_seizures abnormal_sensation    stinging_sensation                                                                                                                                                                           
2004,hemiparesis,                                                                   seizure                                                                                                                                                             abnormal_sensation stupor  Stahli's_line  paralyse                                                                                                                                                                          
2005,hemiparesis,                                                                speech_slurred                                                                 drowsiness_sleepy                                                                                             aphagia focal_seizures   fremitus                                                                                                                                                                             
2006,hemiparesis,                                                               dysarthria   hemiplegia                                                               drowsiness_sleepy                                 clonus                                                             focal_seizures    Stahli's_line                                                                                                                                                                            
2007,hemiparesis,   asthenia             unresponsiveness                                                speech_slurred                                                                 drowsiness_sleepy                                 clonus                                                            aphagia focal_seizures                                                                                                                                                                                
2008,hemiparesis,                unresponsiveness                                                   seizure                                                              drowsiness_sleepy                                                                                                stupor    paralyse                                                                                                                                                                          
2009,hemiparesis,   asthenia                                                            dysarthria                                                                  drowsiness_sleepy                                                                                                   stinging_sensation                                                                                                                                                                           
2010,hemiparesis,                                                                 facial_paresis  seizure                                                                                                                                                           aphagia  abnormal_sensation stupor   stinging_sensation                                                                                                                                                                           
2011,osteoporosis,    fall  vertigo                                                                                                                      numbness_of_hand    prostatism                                                        distended_abdomen                                              hirsutism                                                                                                                                                                         
2012,osteoporosis,                                                                            pain                                              lightheadedness  numbness_of_hand                                                                                                          hirsutism  bradykinesia  urge_incontinence                                                                                                                                                                     
2013,osteoporosis,    fall  vertigo                                                                                                                    lightheadedness                                                                                                            hirsutism   out_of_breath urge_incontinence                                                                                                                                                                     
2014,osteoporosis,                                                                                    apyrexial                                        numbness_of_hand                                                            distended_abdomen                                                 out_of_breath urge_incontinence                                                                                                                                                                     
2015,osteoporosis,     syncope vertigo                                                                      pain                                                    prostatism                                                                                                                                                                                                                                                                               
2016,osteoporosis,                                                                            pain        apyrexial                                                                                                    distended_abdomen                                               sniffle bradykinesia                                                                                                                                                                       
2017,osteoporosis,      vertigo                                                                              apyrexial                                                                                                                                                  hirsutism  bradykinesia  urge_incontinence                                                                                                                                                                     
2018,transient ischemic attack,   asthenia                                                                 numbness                                                      lightheadedness                                                                                                                 vision_blurred                                                                                                                                                                    
2019,transient ischemic attack,      vertigo                               difficulty                          dysarthria                                                                                                                                                                            vision_blurred                                                                                                                                                                    
2020,transient ischemic attack,   asthenia  syncope                                                          dysarthria speech_slurred    numbness                                                                                                                                                                         rambling_speech clumsiness                                                                                                                                                                 
2021,transient ischemic attack,   asthenia  syncope                                                                                                                                                                                                  extrapyramidal_sign                                    vision_blurred   clumsiness                                                                                                                                                                 
2022,transient ischemic attack,   asthenia  syncope vertigo                                                          speech_slurred facial_paresis   numbness                                                     headache                                                                                                                                                                                                                                                                                      
2023,transient ischemic attack,     syncope                                                                                                                    headache                                                                              extrapyramidal_sign                                     room_spinning  clumsiness                                                                                                                                                                 
2024,transient ischemic attack,     syncope                                difficulty                                                                                    headache                                                 neck_stiffness                                                                  room_spinning rambling_speech                                                                                                                                                                  
2025,transient ischemic attack,                                     difficulty                          dysarthria     numbness                                                     headache                                                 neck_stiffness                                                                 vision_blurred                                                                                                                                                                    
2026,adenocarcinoma,                                                                            pain                                                        mass_of_body_structure     lesion               satiety_early    pain_abdominal                                                                      fremitus             decreased_stool_caliber                                                                                                                                                                
2027,adenocarcinoma,                                                                                                                                    mass_of_body_structure                        pain_abdominal                                                                      fremitus             decreased_stool_caliber   cicatrisation_scar_tissue                                                                                                                                                             
2028,adenocarcinoma,                                                                                                                                    mass_of_body_structure     lesion   decreased_body_weight               constipation                                                                                     hematochezia egophony cicatrisation_scar_tissue                                                                                                                                                             
2029,adenocarcinoma,                                                                            pain                                                        mass_of_body_structure     lesion   decreased_body_weight                pain_abdominal                                                                                                                                                                                                                                                   
2030,adenocarcinoma,                                                                            pain                                                             lesion               satiety_early   constipation pain_abdominal                                                                                   decreased_stool_caliber hematochezia                                                                                                                                                               
2031,adenocarcinoma,                                                                                                                                    mass_of_body_structure                       constipation pain_abdominal                                                                                   decreased_stool_caliber                                                                                                                                                                
2032,paranoia,                      hallucinations_auditory      blackout  hallucinations_visual                                                                                                                                                                  terrify                                                                                                                                                                                                               
2033,paranoia,                     suicidal       blackout  hallucinations_visual  agitation                                                                                                                                                                                                                  cicatrisation_scar_tissue                                                                                                                                                             
2034,paranoia,                      hallucinations_auditory     irritable_mood         energy_increased                                                                                                                                                            terrify                                                                                                                                                                                                               
2035,paranoia,                             mood_depressed   agitation        homelessness                                                                                                                                                        terrify        loose_associations                                            decompensation                                                                                                                                                           
2036,paranoia,                    feeling_suicidal          hallucinations_visual     verbal_auditory_hallucinations                                                                                                                                                             terrify        loose_associations                                                                                                                                                                                                       
2037,paranoia,                     suicidal       blackout    agitation   verbal_auditory_hallucinations                                                                                                                                                                     loose_associations                                           neologism                                                                                                                                                            
2038,paranoia,                           irritable_mood   hallucinations_visual  agitation   verbal_auditory_hallucinations energy_increased                                                                                                                                                                    loose_associations                                           neologism                                                                                                                                                            
2039,paranoia,                      hallucinations_auditory        hallucinations_visual  agitation   verbal_auditory_hallucinations energy_increased                                                                                                                                                                                                               neologism decompensation                                                                                                                                                           
2040,pancreatitis,                  vomiting                                                          pain                                                                          sore_to_touch                                                                                               stool_color_yellow rigor_-_temperature-associated_observation                                                                                                                                                         
2041,pancreatitis,                                                                                 diarrhea                                                                           pain_abdominal                                                                                         stool_color_yellow rigor_-_temperature-associated_observation                                                                                                                                                         
2042,pancreatitis,         nausea                                                                   pain     diarrhea   apyrexial                                                                        pain_abdominal                                                                                                                                                                                                                                                   
2043,pancreatitis,         nausea                                                                   pain     diarrhea                                                                           pain_abdominal                                                                                         stool_color_yellow                                                                                                                                                          
2044,incontinence,     syncope                                                                                                                                                                               unhappy                                                      urge_incontinence             paraparesis                                                                                                                                                        
2045,incontinence,    fall syncope                            tremor                                                                                                                                                                                                         urge_incontinence              moody                                                                                                                                                       
2046,incontinence,                                                                                                                                                                             aura                                                                           moody fear_of_falling spasm                                                                                                                                                     
2047,incontinence,   asthenia fall                                                                                                         unconscious_state                                                                       unhappy                                                                      spasm                                                                                                                                                     
2048,incontinence,    fall syncope                                                              seizure                                          unconscious_state                                                                       unhappy                                                                   paraparesis  fear_of_falling                                                                                                                                                      
2049,incontinence,                unresponsiveness                                                   seizure                                          unconscious_state                                                                                                                                          paraparesis moody fear_of_falling                                                                                                                                                      
2050,incontinence,                                                                   seizure                                          unconscious_state                                                                aura                                                                           moody                                                                                                                                                       
2051,paroxysmal dyspnea,pain_chest        palpitation      orthopnea                                                                                                                    weight_gain                                                                                                                                                                                                                                                                             
2052,paroxysmal dyspnea,pain_chest shortness_of_breath      sweat_sweating_increased       orthopnea                                               jugular_venous_distention                                                                                                                                                                                                                                                                                                                                                  
2053,paroxysmal dyspnea,        palpitation      orthopnea rale                             cough                 jugular_venous_distention dyspnea                                                                                                                                                                                                                                                                                                                                                 
2054,paroxysmal dyspnea,              orthopnea rale                           dyspnea_on_exertion  cough                 jugular_venous_distention                                                                     weight_gain                                                                                                                                                                                                                                                                             
2055,paroxysmal dyspnea,pain_chest       sweat_sweating_increased        rale                             cough                 jugular_venous_distention dyspnea                                                                                                                                                                                                                                                                                                                                                 
2056,hernia,                                                                  hemiplegia          pain                     haemorrhage                                   mass_of_body_structure          thicken                                                                                                             hyperventilation    pulse_absent                                                                                                                                                
2057,hernia,   asthenia                                                                         pain        apyrexial                                       food_intolerance                   thicken        sore_to_touch                                                                                                        posturing                                                                                                                                                 
2058,hernia,   asthenia                                                                                                                                                                                                                                                        hyperventilation excruciating_pain gag posturing pulse_absent                                                                                                                                                
2059,hernia,                                                                            pain        apyrexial                                                mass_of_body_structure          thicken              pain_abdominal                                                                                                 gag                                                                                                                                                  
2060,hernia,                                                                  hemiplegia          pain                                                                                                                                                                                excruciating_pain   pulse_absent                                                                                                                                                
2061,hernia,                                                                  hemiplegia                                                                  mass_of_body_structure                  sore_to_touch                                                                                                         pulse_absent                                                                                                                                                
2062,hernia,                                                                                    apyrexial             haemorrhage                                   mass_of_body_structure                  sore_to_touch      pain_abdominal                                                                                               hyperventilation   posturing                                                                                                                                                 
2063,hernia,         nausea                                                                                                                                                   pain_abdominal                                                                                                 gag  pulse_absent                                                                                                                                                
2064,malignant neoplasm of prostate carcinoma prostate,               rale                                                                       hematuria    hemodynamically_stable                                                                                                                                                                        passed_stones qt_interval_prolonged ataxia                                                                                                                                           
2065,malignant neoplasm of prostate carcinoma prostate,   asthenia   vertigo                                                                           diarrhea               tumor_cell_invasion      orthostasis                              mass_of_body_structure                                                                                         paresis                                                                                                                                                                                  
2066,malignant neoplasm of prostate carcinoma prostate,               rale                                   breath_sounds_decreased                                        hemodynamically_stable                                                                                                                                                                        passed_stones qt_interval_prolonged                                                                                                                                            
2067,malignant neoplasm of prostate carcinoma prostate,                                                                                 diarrhea    dysuria                                                                                                                                        paresis                                    polymyalgia                                                                                                                                              
2068,malignant neoplasm of prostate carcinoma prostate,      vertigo                                                                                       guaiac_positive                                                                                                                                             urge_incontinence                          ataxia                                                                                                                                           
2069,malignant neoplasm of prostate carcinoma prostate,                                                  breath_sounds_decreased                                                                                                                      hemianopsia_homonymous                                                     paresis                                     passed_stones                                                                                                                                             
2070,malignant neoplasm of prostate carcinoma prostate,                                                  breath_sounds_decreased                                    hematuria       guaiac_positive                                               decreased_body_weight                                                                                 paresis                                    polymyalgia                                                                                                                                              
2071,malignant neoplasm of prostate carcinoma prostate,                                                pleuritic_pain                                 diarrhea    dysuria        guaiac_positive         orthostasis                                                                                                                                                           polymyalgia   ataxia                                                                                                                                           
2072,malignant neoplasm of prostate carcinoma prostate,                                                pleuritic_pain                                 diarrhea    dysuria     hemodynamically_stable            orthostasis                              mass_of_body_structure                                    hemianopsia_homonymous                                                                                                                                                                                                                                       
2073,malignant neoplasm of prostate carcinoma prostate,      vertigo         rale                                   breath_sounds_decreased                                    hematuria    hemodynamically_stable                                                                                                                                                                                                                                                                                                                     
2074,malignant neoplasm of prostate carcinoma prostate,   asthenia   vertigo                                                                                       guaiac_positive   tumor_cell_invasion                                                                                                                                                                dysesthesia polymyalgia                                                                                                                                              
2075,edema pulmonary,       sweat_sweating_increased                                                wheezing   tachypnea   jugular_venous_distention dyspnea                                                    urgency_of micturition                                                                                                                                                   Heberden's_node                                                                                                                                          
2076,edema pulmonary,       sweat_sweating_increased        rale                                           tachypnea                                                        urgency_of micturition  hypotension                                                                         sinus_rhythm                                                                                                                                                                                                                  
2077,edema pulmonary,              orthopnea rale                                                                                             patient_non_compliance        hypotension                                                                                                                                                 Heberden's_node                                                                                                                                          
2078,edema pulmonary,pain_chest              orthopnea rale                                              jugular_venous_distention dyspnea            chest_discomfort                                                                                                                                                                                           Heberden's_node                                                                                                                                          
2079,edema pulmonary,pain_chest                                                              dyspnea                                                                                                                               sinus_rhythm                                                                        Heberden's_node                                                                                                                                          
2080,edema pulmonary,pain_chest                                                       wheezing   tachypnea    dyspnea                                              patient_non_compliance        hypotension                                                                         sinus_rhythm                                                                                                                                                                                                                  
2081,edema pulmonary, shortness_of_breath      sweat_sweating_increased       orthopnea                                         wheezing      jugular_venous_distention                                                    hyperkalemia                                                                                                                                                    Heberden's_node                                                                                                                                          
2082,edema pulmonary,pain_chest                                                          tachypnea                                                       hyperkalemia   hypotension                                                                                                                                                                                                                                                                                           
2083,lymphatic diseases,                                                   chill                         pain                                                             lesion                                                                                                        egophony                                                                                                                                                              
2084,lymphatic diseases,                                                   chill                                                fatigue                                               redness                                                                                                                    hepatomegaly                                                                                                                                         
2085,lymphatic diseases,                                                                                                                                                  redness  hyperacusis                                                           splenomegaly                   fremitus               egophony                     hepatomegaly                                                                                                                                         
